h,r,t,count,source
Covered entities, follow, HIPAA,1,['Who Must Follow These Laws']
Covered entities, include, Health Plans,1,['Who Must Follow These Laws']
Covered entities, include, Most Health Care Providers,1,['Who Must Follow These Laws']
Covered entities, include, Health Care Clearinghouses,1,['Who Must Follow These Laws']
Health Plans, include, health insurance companies,1,['Who Must Follow These Laws']
Health Plans, include, HMOs,1,['Who Must Follow These Laws']
Health Plans, include, company health plans,1,['Who Must Follow These Laws']
Health Plans, include, certain government programs,1,['Who Must Follow These Laws']
Most Health Care Providers, conduct, certain business electronically,1,['Who Must Follow These Laws']
Most Health Care Providers, include, doctors,1,['Who Must Follow These Laws']
Most Health Care Providers, include, clinics,1,['Who Must Follow These Laws']
Most Health Care Providers, include, hospitals,1,['Who Must Follow These Laws']
Most Health Care Providers, include, psychologists,1,['Who Must Follow These Laws']
Most Health Care Providers, include, chiropractors,1,['Who Must Follow These Laws']
Most Health Care Providers, include, nursing homes,1,['Who Must Follow These Laws']
Most Health Care Providers, include, pharmacies,1,['Who Must Follow These Laws']
Most Health Care Providers, include, dentists,1,['Who Must Follow These Laws']
Health Care Clearinghouses, process, nonstandard health information,1,['Who Must Follow These Laws']
Health Care Clearinghouses, receive, health information from another entity,1,['Who Must Follow These Laws']
Health Care Clearinghouses, process, information into standard electronic format or data content,1,['Who Must Follow These Laws']
Health Care Clearinghouses, process, information vice versa,1,['Who Must Follow These Laws']
Business associates, follow, parts of the HIPAA regulations,1,['Who Must Follow These Laws']
Business associates, include, contractors,1,['Who Must Follow These Laws']
Business associates, include, subcontractors,1,['Who Must Follow These Laws']
Business associates, help, doctors get paid for providing health care,2,"['Who Must Follow These Laws', 'Who Must Follow These Laws']"
Business associates, help, administer health plans,2,"['Who Must Follow These Laws', 'Who Must Follow These Laws']"
Business associates, store or destroy, medical records,2,"['Who Must Follow These Laws', 'Who Must Follow These Laws']"
HIPAA, defines, Privacy and Security Rules,1,['Who Is Not Required to Follow These Laws']
Life insurers, not required to follow, HIPAA,1,['Who Is Not Required to Follow These Laws']
